procedure_index,procedure_name,instruction_offset,call,message_list_id,message_number,message_expression,intelligence,target_procedure_index,target_procedure_name,reaction,link_status,msg_text,msg_audio
21,Lorri19,4734,message_lookup,174,170,170,,,,,linked,你想听谁的故事？,
22,Lorri20,4788,message_lookup,174,171,171,,,,,linked,齐默曼市长。,
22,Lorri20,4830,message_lookup,174,172,172,,,,,linked,卡勒布。,
22,Lorri20,4878,message_lookup,174,173,173,,,,,linked,麦尔斯。,
22,Lorri20,4926,message_lookup,174,174,174,,,,,linked,提恩。,
22,Lorri20,4974,message_lookup,174,175,175,,,,,linked,施密蒂。,
22,Lorri20,5022,message_lookup,174,176,176,,,,,linked,没事。,
22,Lorri20,5070,message_lookup,174,177,177,,,,,linked,齐默曼关心着我们的城市。他确保我们每个人都能自食其力。,
23,Lorri21,5124,message_lookup,174,178,178,,,,,linked,卡勒布是管理者的头儿。他负责内城区的安全。我看他对这份工作起劲过头，超过他的本分了。,
24,Lorri22,5196,message_lookup,174,179,179,,,,,linked,啊哈，我们的长驻化学师。麦尔斯制造子弹，还做出了一个水蒸馏器保证我们的井水得到净化。他现在应该在地下农场，不过她丢了些工具。,
25,Lorri23,5268,message_lookup,174,180,180,,,,,linked,提恩经营着一家商店。就在大门附近的掩体里。他替我们在哈勃城市场进行贸易。,
26,Lorri24,5340,message_lookup,174,181,181,,,,,linked,嗯，施密蒂是我们的修理工。他精于此道。他经常在城镇周围捡些子弹或者修理一些坏掉的材料。,
27,Lorri25,5412,message_lookup,174,182,182,,,,,linked,咱们聊聊其他人好吗？,
28,Lorri26,5504,message_lookup,174,183,183,,,,,linked,咱们换个话题好吗？,
28,Lorri26,5552,message_lookup,174,184,184,,,,,linked,,
28,Lorri26,5600,message_lookup,174,185,185,,,,,missing-number,,
29,Lorri27,5654,message_lookup,174,186,186,,,,,linked,你开玩笑吧？如果真有电脑游戏，那你现在怎么不玩啊？,
