procedure_index,procedure_name,instruction_offset,call,message_list_id,message_number,message_expression,intelligence,target_procedure_index,target_procedure_name,reaction,link_status,msg_text,msg_audio
15,Saul09,5924,intelligence_option,528,132,132,4,34,SaulEnd,50,linked,嗯，很高兴见到你。过会见。,
16,Saul10,5988,reply,528,133,133,,,,,linked,是的。,
16,Saul10,6010,reply,528,134,134,,,,,linked,我这辈子都住在这儿。在这儿长大。,
16,Saul10,6042,intelligence_option,528,135,135,4,17,Saul11,50,linked,你能告诉我关于迦克镇的什么吗？,
16,Saul10,6074,intelligence_option,528,136,136,4,18,Saul12,49,linked,你怎么成为一个拳手的？,
16,Saul10,6106,intelligence_option,528,132,132,4,34,SaulEnd,50,linked,嗯，很高兴见到你。过会见。,
17,Saul11,6146,reply,528,137,137,,,,,linked,嗯，好的，陌生人，我为吉斯莫工作。他是那个大赌场的拥有者。他也付给这儿的拳手好报酬！你还想知道什么？,
17,Saul11,6178,intelligence_option,528,136,136,4,18,Saul12,49,linked,你怎么成为一个拳手的？,
17,Saul11,6228,intelligence_option,528,138,138,4,19,Saul13,50,linked,那人在这儿都干什么呢？,
17,Saul11,6278,intelligence_option,528,139,139,4,20,Saul14,50,linked,你能告诉我一点关于吉斯莫和那赌场的事吗？,
17,Saul11,6336,intelligence_option,528,,fetch_global(12),4,34,SaulEnd,50,dynamic-number,,
18,Saul12,6424,reply,528,140,140,,,,,linked,干拳击这行一些年了。,
18,Saul12,6446,reply,528,141,141,,,,,linked,在我成长之时，我总是和我的兄弟们扭打在一起。一次一小伙歹徒袭击了吉斯莫，我在一个歹徒能拔枪对准我之前把他打得讨饶。只是运气，真的，不过吉斯莫那时赞助有组织的拳击，而我需要一些钱。从那时起就打拳了。,
18,Saul12,6478,intelligence_option,528,142,142,5,21,Saul15,49,linked,你的弟兄们怎么了？,
18,Saul12,6510,intelligence_option,528,143,143,4,19,Saul13,50,linked,那么那个人在这个镇上做什么的？,
18,Saul12,6542,intelligence_option,528,144,144,4,20,Saul14,50,linked,你能告诉我关于你老板的事吗？,
18,Saul12,6600,intelligence_option,528,,fetch_global(12),4,34,SaulEnd,50,dynamic-number,,
19,Saul13,6654,reply,528,145,145,,,,,linked,如果你只是在找补给，你应该去基利安·黑水的店，这儿东南边的远处。你也能在这儿附近的破屋区睡上一晚。如果你准备待一阵子的话，你该想去对面的斯卡姆·匹特的酒吧喝上一杯，但是留神骷髅党。,
19,Saul13,6686,intelligence_option,528,146,146,4,26,Saul19,50,linked,骷髅党是哪路神仙？,
19,Saul13,6718,intelligence_option,528,147,147,4,20,Saul14,50,linked,那么，再告诉我一些关于赌场的事。,
19,Saul13,6776,intelligence_option,528,,fetch_global(12),4,34,SaulEnd,50,dynamic-number,,
20,Saul14,6830,reply,528,148,148,,,,,linked,吉斯莫的赌场是每个人都跑去赌博的地方。那儿有许多游戏，你能玩得很爽！那是除了哈勃城这边的最好的地方了。,
20,Saul14,6880,intelligence_option,528,149,149,4,19,Saul13,50,linked,那个人还在这附近做什么呢？,
20,Saul14,6938,intelligence_option,528,,fetch_global(12),4,34,SaulEnd,50,dynamic-number,,
21,Saul15,6992,reply,528,150,150,,,,,linked,我的兄弟詹姆斯很多年以前在一次歹徒袭击中被杀害了。那之后不久，我另一个兄弟，达雷尔，攒了一些东西便向南出发朝向一个叫闪光之地的神秘地方，寻找古代的财宝，或者一些类似的东西。他从没有回来。,
21,Saul15,7024,intelligence_option,528,151,151,4,23,Saul17,50,linked,为什么你待在迦克镇？,
21,Saul15,7056,intelligence_option,528,152,152,4,24,Saul18,50,linked,嗯，我们能换个话题吗？,
21,Saul15,7114,intelligence_option,528,153,153,6,22,Saul16,49,linked,我很抱歉得知了你的痛苦。,
21,Saul15,7180,intelligence_option,528,,fetch_global(12),4,34,SaulEnd,50,dynamic-number,,
21,Saul15,7212,intelligence_option,528,154,154,6,31,Saul24,50,linked,你知道什么有关这个传说中的地方吗，闪光之地？,
22,Saul16,7276,reply,528,155,155,,,,,linked,谢谢。这已经一些年了，但是我仍然不想谈论太多这事。,
22,Saul16,7308,intelligence_option,528,156,156,4,24,Saul18,50,linked,那么，我能问你些问题吗？,
22,Saul16,7366,intelligence_option,528,,fetch_global(12),4,34,SaulEnd,50,dynamic-number,,
23,Saul17,7406,reply,528,157,157,,,,,linked,我住在这儿。我喜欢拳击，我与特里诗过得很愉快，而且我没有去其它地方的冲动。,
23,Saul17,7438,intelligence_option,528,158,158,4,24,Saul18,50,linked,哦。这样啊，那不错。介意我换个话题吗？,
23,Saul17,7512,intelligence_option,528,159,159,5,27,Saul20,50,linked,是的，我已经遇到过特里诗。,
23,Saul17,7570,intelligence_option,528,,fetch_global(12),4,34,SaulEnd,50,dynamic-number,,
24,Saul18,7634,reply,528,160,160,,,,,linked,嗯，什么？,
24,Saul18,7656,reply,528,161,161,,,,,linked,我能帮你什么忙吗？,
24,Saul18,7706,intelligence_option,528,162,162,4,19,Saul13,50,linked,那个人在这儿干些什么？,
24,Saul18,7756,intelligence_option,528,163,163,4,20,Saul14,50,linked,你能再告诉我一些关于你老板的事吗？,
24,Saul18,7788,intelligence_option,528,164,164,4,25,Saul18a,51,linked,【你轻拍你的武器】我想你见见我的小朋友。,
24,Saul18,7820,intelligence_option,528,165,165,4,34,SaulEnd,50,linked,闲谈受益匪浅。别处见。,
26,Saul19,7948,reply,528,166,166,,,,,linked,骷髅党是一帮在迦克镇破屋区后边和斯卡姆·匹特酒吧游荡的坏蛋。留神他们；他们喜欢玩弄刀子。,
26,Saul19,7980,intelligence_option,528,168,168,4,24,Saul18,50,linked,我明白了。还有什么你能告诉我的吗？,
26,Saul19,8038,intelligence_option,528,167,167,6,40,UpReact,49,linked,感谢你的提示。我会当心的。,
26,Saul19,8102,intelligence_option,528,169,169,4,34,SaulEnd,50,linked,好，切记不要乱摸，嗯？,
27,Saul20,8166,reply,528,169,169,,,,,linked,好，切记不要乱摸，嗯？,
27,Saul20,8220,message_lookup,528,170,170,,,,,linked,她对我很重要。,
27,Saul20,8234,message_lookup,528,171,171,,,,,linked,【索尔皱了皱眉。】但是她不喜欢我搞拳击。她不见得明白这是我想做的。,
27,Saul20,8238,reply,528,,"add(message_str(528, 170), message_str(528, 171))",,,,,dynamic-number,,
27,Saul20,8296,intelligence_option,528,172,172,6,28,Saul21,49,linked,她关心你的幸福。她可能不能忍受看见你被打倒在地，为吉斯莫冒生命危险。如果你不找一个折衷的办法，你会失去她。,
27,Saul20,8336,intelligence_option,528,173,173,4,29,Saul22,50,linked,我想她是担心你。,
27,Saul20,8364,message_lookup,528,170,170,,,,,linked,她对我很重要。,
27,Saul20,8366,reply,528,,"message_str(528, 170)",,,,,dynamic-number,,
27,Saul20,8398,intelligence_option,528,174,174,4,24,Saul18,50,linked,那么，我们是不是谈些其它的？,
27,Saul20,8430,intelligence_option,528,175,175,4,34,SaulEnd,50,linked,好，待会见。,
28,Saul21,8524,message,528,176,176,,,,49,linked,我从没这样想过这事。我认为她只是不喜欢拳击。我猜想我不得不再与她多谈谈这事。谢了。,
29,Saul22,8622,reply,528,177,177,,,,,linked,呃，她只是不喜欢拳击，这就是全部。,
29,Saul22,8654,intelligence_option,528,178,178,4,24,Saul18,50,linked,好，我们能谈论些别的事吗？,
29,Saul22,8686,intelligence_option,528,179,179,4,34,SaulEnd,50,linked,别处见。,
30,Saul23,8750,reply,528,180,180,,,,,linked,又是你。这回什么事？,
30,Saul23,8772,reply,528,181,181,,,,,linked,又见面了。,
30,Saul23,8804,intelligence_option,528,182,182,4,15,Saul09,51,linked,我到这儿来教你些礼节。,
30,Saul23,8898,intelligence_option,528,183,183,4,27,Saul20,50,linked,我需要和你谈谈关于特里诗的事。,
30,Saul23,8948,intelligence_option,528,184,184,4,19,Saul13,50,linked,你能告诉我关于迦克镇的事吗？,
30,Saul23,9006,intelligence_option,528,,fetch_global(12),4,34,SaulEnd,50,dynamic-number,,
31,Saul24,9046,reply,528,185,185,,,,,linked,从我所打听到的来说，闪光之地是一个晚上发光的大凹陷。它被认为在南边很远很远的地方，但是我不知道哪里。有消息说它被拥有战前科技的变种畸形人所占据。,
31,Saul24,9078,intelligence_option,528,186,186,4,34,SaulEnd,0,linked,我明白了。感谢你的信息。,
31,Saul24,9110,intelligence_option,528,187,187,4,24,Saul18,0,linked,有意思。你能再给我多一些信息吗？,
48,Goodbyes,12496,message_lookup,634,,"random(100, 105)",,,,,dynamic-number,,
